詞條	中文	音節	釋義	頁數	備註	轉寫者
Aicho and aicho-ies	那裏；距離不遠之處		there, but not far off. Aicho, aichoies, soo aicho echies, yonder. Pait o ta, so-o roman kallach, gannumma, there, beyond, yonder. Paia innai maro maicho, and mai-hoies, it is so, there it is.	15		妤蓁_13-41
Aicho-ech	在視線之外		beyond, outside, far out of sight	15		妤蓁_13-41
Aisênnas	小星星		small stars	15		妤蓁_13-41
A-i-ór	下列		the following; a-i-or natta, the next; ajor narroa, &c. A-i-or a mato, next after the large one, that is smaller.	15		妤蓁_13-41
Airo and essuro	猜想		to suppose, to imagine.	15		妤蓁_13-41
Aissen,			is frequently used in different senses; if we meet with this expression alone, it seems to intimate the doing away with anything, as when anything is burnt: aissen o chau, it is burnt in the fire; aissen o cho, some one has taken it away.	16		妤蓁_13-41
Aissillak	幾乎撞到		as chadsja pila, nearly hit	16		妤蓁_13-41
Aito-ilo	七加七		seven and seven, by seven	16		妤蓁_13-41
Ake	請多指教 （突然與某人遇見時說）		a word of excuse, when you unknowingly run against any one; as pray excuse me.	16		妤蓁_13-41
Akeraúso	抱怨語 （當有東西掉下來時）		a form of complaint, when any thing falls down	16		妤蓁_13-41
Akobos	捕獵網		a hunting net, placed in the field, to catch beasts; from pakobor, to catch in a net	16		妤蓁_13-41
Allû	裝飾		show finery, ornament; from Malla or Pallo, to set one's self off.	16		妤蓁_13-41
Alla-a	再見		by and bye	16		妤蓁_13-41
Alldóch	一種裝飾用的紅豆		called in the south, kalladóch, a sort of red beans, which the natives wear round their necks, instead of coral beads; they are very posonous.	16		妤蓁_13-41
Allà	連接詞，表原因或目的		that, in order that	16		妤蓁_13-41
Al-à l	友善；善良		kindness; from ma-allal, to be kind	16		妤蓁_13-41
Alàm	各種彈藥或導彈型武器		all kinds of projeciles or missle weapons; from Malam, to fight with missle weapons.	16		妤蓁_13-41
Alle	籃子，或裝嬰孩用的籃子		a basket , also a werd used in addressing children	17		妤蓁_13-41
Allecho, or alleicho	正在做或正在經歷；也表未來		added to a word betokens doing or suffering; it also refers to the future. Súmmada, allecho na-amai, which is the same as sunmada na-a mamai, tomorrow  I will come	17		妤蓁_13-41
Allolo	生火用的柴		fire-wood; as marach o ûllolo, go and get some fire-wood.	17		妤蓁_13-41
Aliod	旋風		a barri, a whirlwind	17		妤蓁_13-41
Ami	禁止		a prohibitory expression, as ûmi a mochan, bring no food; ûmi a maú a dat-ai, do not pick it.	17		妤蓁_13-41
Amisûn	北方		the north. Matamis-mi-ma, northward. Patamis, transit.	17		妤蓁_13-41
Amo	李子；李子樹		a plum, a plum tree	17		妤蓁_13-41
Amorra	肝臟		the liver	17		妤蓁_13-41
Ani	在...之前		before  this. ago; ani rúmmies, in former days; ani zchieta rummies, ten days ago; aninaspaat ai das, four months ago; ani tarnacho a baas, nine years ago: animúnma, and anibanno, when did it happen? People say in the evening; ani mûrpesa, yesterday, or last evening: ani naassa, a little while ago; anissima, this morning early: annach, certainly, verily: ansia, yesterday: ansiûtta, the day before yesterday: ani bi-ini, and anbini, last night: anibaas, last year: ani mossa, like anibaas, like anibaas: animilip, a long time ago: aniaicho, d'cicin ani, a very long since.	17		妤蓁_13-41
Annomûnnoma	繼續		go on, go forward: anno man noma taitum madp, get to work; maibas pattillo ta-i, ta-i man, maibas channa, Pray eat.	18		妤蓁_13-41
Annúma	你在抱怨什麼？		as mumma annuma; Sassonoe, what are you grumbling about.	18		妤蓁_13-41
A-o	醃菜		pickle	18		妤蓁_13-41
A-orran	喝醉；生病		maorran, ino-a-orran, fuddled with drinking, sick; people also say madich a mairab a-orran ja ina.	18		妤蓁_13-41
A-onosoa	沖洗傷口的鹽水		salt and water, with which the natives wash their wounds. Com pounded of ao, pickle, and soI, a wound.	18		妤蓁_13-41
A-ot	計量單位	A-ot	a measure, an ell; from moet	18		妤蓁_13-41
Aran	從小被收養的僕人	Aran	an adopted child, a servant brought up in the house but who works for his food; as aran o cho, to serve for one's board and lodging	18		妤蓁_13-41
Arapóch	旅行時裝食物或衣服的麻袋	Arapóch	a sack, in which the natives when they travel, put their food and clothing, to carry it on their backs.	18		妤蓁_13-41
Ararroa	二加二		two and two, ararroa don natta cho tumkach, from every second house is some one gone out to hunt	18		妤蓁_13-41
Aràs	草	Aràs	grass	19		妤蓁_13-41
Arassà	一種由樹皮製成的馬褲	Arassà	a kind of breeches made of the bark of a tree.	19		妤蓁_13-41
Arat	皮棉	Arat	tow, lint.	19		妤蓁_13-41
Araúto	浴缸、桶	Araúto	a tub, a barrel.	19		妤蓁_13-41
Aribaribàt	各種狩獵器具（如弓、箭、漁網）	Aribaribàt	all sorts of hunting apparatus, as bows, arrows, fishnets, &c. from maribaribat, to hunt, or to go a fishing.	19		妤蓁_13-41
Ariem	檸檬；各種有香味之果	Ariem	a lemon, or citron of every kind.	19		妤蓁_13-41
Arodo	延展器	Arodo	a trevet	19	荷蘭原文：een tretcher	妤蓁_13-41
Aroroan of arorro-aijan	集合、開會之處	Aroroan of arorro-aijan	a place of as sembly; arorroan ata, a plain for meeting; arorroan adon, a meeting house; arorróan bonna, a field for meeting; from marorro, together, in Common.	19		妤蓁_13-41
Arrabis	乳房	Arrabis	the breast	19		妤蓁_13-41
Arar	柵欄	Arar	a fence; from parar, to fence round.	19		妤蓁_13-41
Ararräan a idas	滿月	Ararräan a idas	the full moon, that is a clear moon; from parara, to enlighten.	19		妤蓁_13-41
Arasia	土塊	Arasia	a clod of earth	19		妤蓁_13-41
Arribodán	蛻皮	Arribodán	from inaribodán, or ino-ar-rihodan, to cast the skin, to moult; from Paribod	19		妤蓁_13-41
Arribil	衣服；裝飾品	Arribil	everything belonging to dress or ornament	20		妤蓁_13-41
Arribórribon	脖子或頭部後面	Arribórribon	the neck, and the back part of the head.	20		妤蓁_13-41
Arriëddan	家	Arriëddan	a household: cho don takalla aréddan, takalla, a family.  Arima, great bamboos.	20		妤蓁_13-41
Aris	向東的；東風 ；過境；運輸	Aris	as Bajan: 1. mataris, easterly.  2.pataris, transit	20		妤蓁_13-41
Arripas	蜈蚣	Arripas	a centipede: arripas mahahasis, arripas gagil, this is a very rare kind: arripasmorrún, is arripas a bivog, of this sort there are more.	20		妤蓁_13-41
Arro	鐵環；銅環；可用來摘草的工具	Arro	a native armring of iron or copper;also a certain instrument wherewith to pluck up grass. Callaba, the ring of round copper wire on the fore part of the arm. Tallatuis, the second ring underneath.	20		妤蓁_13-41
Arrobo	人或獸的臀部	Arrobo	the rump of a man or beast; as taddogon, is understood of the upper part of the body, without neck or head, including the ribs and breast, whether there be flesh on or not.	20		妤蓁_13-41
Arroro	大海的聲音	Arroro	from inimarros-t' a-arnaros-os,the noise of the sea; from Parros-os, not in use.	20		妤蓁_13-41
Arros-os o abas	海的怒吼聲	Arros-os o abas	the sea roars	20		妤蓁_13-41
Arrotsenach	一種盾牌	Arrotsenach	a kind of shield	21		妤蓁_13-41
Asaboán		Asaboán	any vehicle borne between two, as a bier, &c. from Passabo, to carry between two.	21		妤蓁_13-41
Asjoddan	房子的側面	Asjoddan	the sides of a house	21		妤蓁_13-41
Asopietpiet	服裝的接縫	Asopietpiet	the seam of a garment: from Passopietpiet, to hem.	21		妤蓁_13-41
Asopir	鑄網	Asopir	a cast net: from Passopir, to fish with a castnet.	21		妤蓁_13-41
Asas	懶惰	Asas	laziness, idleness: from Masas, lazy, slow.	21		妤蓁_13-41
Asáspat	四加四	Asáspat	four and four, by fours	21		妤蓁_13-41
Asáû-an	地倉（用來敲出種子的地方）	Asáû-an	a barnfloor, where people beat seed out of the stock: from Mdsdū, to thresh.	21		妤蓁_13-41
Asi	篩子	Asi	a sieve.	21		妤蓁_13-41
Asian	（房間中間的）柱子	Asian	a post in the middle of a house.	21		妤蓁_13-41
Asièl	（人或野獸的）腿	Asièl,	the leg of a man or beast: asiél o sijsia, rays of the sun.	21		妤蓁_13-41
Asinok	手帕	Asinok	a handkerchief: from Passinok, to blow the nose.	21		妤蓁_13-41
Aso	手指的指甲	Aso	a nail of the finger	21		妤蓁_13-41
Asóan	一種大豆	Asóan	a large kind of bean	21		妤蓁_13-41
Asoso	禮物	Asoso	a gift, a present: from Pâssoso, given.	21		妤蓁_13-41
Assában	一個村子	Assában	a village	21		妤蓁_13-41
Assanoman-a	前進	Assanoman-a	as annomdinnoma, go forward! &c	21		妤蓁_13-41
Atas	圖片以及信件	Atas	a picture, also a letter: from pattas, to write.	21		妤蓁_13-41
Atazjies,	稻草人(嚇麻雀用)	Atazjies,	a scare crow, for frightening	22		妤蓁_13-41
Atáschiet,	十加十	Atáschiet,	ten and ten, by tens.	22		妤蓁_13-41
Ate	一直到	Ate	until; as jo tatümmaap ate o lal. lias, you must work till midday; at poa ja kallaman ate cabat, fill the poet half full.away birds: from Pattázies, to make 8 SCalle CrOW.	22		妤蓁_13-41
Atattalap	六加六	Atattalap	six and six, by sixes.	22		妤蓁_13-41
Atattánnacho	九加九	Atattánnacho	nine and nine, by nines.	22		妤蓁_13-41
Ataûso	藥	Ataûso	a medicine: from Pattauso, to heal.	22		妤蓁_13-41
Atil	課程	Atil	a lesson: from Pattil, to learn; atillaijas, school, church, &c.	22		妤蓁_13-41
Atillo	命令	Atillo	a command; from Patillo, to order.	22		妤蓁_13-41
Atippo	補麻雀的網	Atippo	a sparrow net: from Pattipo, to shoot.	22		妤蓁_13-41
Atite	字；演講；講道	Atite	a word, a speech, an oration to the people, a sermon: from Pattite, to speak openly to the people;	22		妤蓁_13-41
Atóasa	兄妹間的特別稱呼	Atóasa	sets forth the special relation between sister and brother; thus from this word, a brother is called not after his brother, but his sister; and a sister, not with reference to her sister, but her brother.	22		妤蓁_13-41
Atap	補丁	Atap	a patch, anything used for the stopping of a hole or tear, whether sewed. darmed, or woven in. From Pattap. to stop a hole or tear.	22		妤蓁_13-41
Atattórroa	三加三	Atattórroa	three and three, by threes.	23		妤蓁_13-41
Atátta,	其一；逐一	Atátta,	either; one by one.	23		妤蓁_13-41
Atokar	桅杆	Atokar	a mast	23		妤蓁_13-41
Attûm	菱角	Attûm	a caltrop	23		妤蓁_13-41
Aû	呼喚另一人的吆喝	Aû	a sign by which one calls to another, as, ho! but it is generally placed after the name of the individual called, as cabbat, or cabba, at ; ho! cabba.	23		妤蓁_13-41
Aûbo	抓魚用的籃子（類似網）	Aûbo	a basket for catching fish, nearly like a net.	23		妤蓁_13-41
Aûchad	公雞爪上的尖刺	Aûchad	cocks' spurs.	23		妤蓁_13-41
Aûdik	身體任何部位的腫脹或厚度	Aûdik	a swelling or thickness, in any part of the body. See Ponno, a boil, or swelling that comes of its self.	23		妤蓁_13-41
Aûkat,	歡愉；愛	Aûkat,	joy, love: from Maûkat, to love.	23		妤蓁_13-41
Aû-kor	大啤酒杯的塞子	Aû-kor	a stopper of a tankard or kan: from Pokkor, to put on a stopper.	23		妤蓁_13-41
Aûroge	腎臟	Aûroge	the kidneys	23		妤蓁_13-41
Aûa-tsi	驚訝；驚嚇	Aûa-tsi	fright, astonishment.	23		妤蓁_13-41
Aûsa	蠟	Aûsa	wax.	23		妤蓁_13-41
Aûseán	中國的水缸	Aûseán	a chinese water pot, such as are seen in the junks.	23		妤蓁_13-41
Aûsoan	方式；路線	Aûsoan	a way or course, leading any where: as, dema aw soam mosse bat-adai, where are they going after Bat-a?	23		妤蓁_13-41
A- âûton	（測量的）單位；工具	A- âûton	a measure or instrument where measure with, as salt, &c. From Moct.	23		妤蓁_13-41
Aûtat	意見；懷疑；感覺	Aûtat	an opinion, a suspicion, a feeling; from Poetat, to suspect.	24		妤蓁_13-41
Ataz-ajan	吃飯用的桌子	Ataz-ajan	a table on which people eat. Ataz aûman, idem.	24		妤蓁_13-41
Atasajan	（放杯子或碟子的）托盤	Atasajan	a board or tray, on which to put cups and saucers.	24		妤蓁_13-41
Azjies	（來自其他鄉鎮或國家的）外來者	Azjies	strangers, who do not belong to our town or country.	24		妤蓁_13-41
Azjies	敵人	Azjies	an enemy: from Mazjies, enmity.	24		妤蓁_13-41
Aziman	寶藏	Aziman	a treasure: from Mazimán, to lay up treasures.	24		妤蓁_13-41
A zo'babat	半滿	A zo'babat	half full.	24		妤蓁_13-41
Ba	凳子	Ba	a stool	24		妤蓁_13-41
Báak	失業；普通；私人；服務中斷；任何無法使用的東西	Báak,	unemployed, plain, private, out of service, or anything unserviceable.	24		妤蓁_13-41
Báan	事物的表面或周圍	Báan	the superficies, or circumference of anything, whether outside or in; báan olellum, báan o babo.	24		妤蓁_13-41
Baas	一年	Baas	a year.	24		妤蓁_13-41
Báat	一種像南瓜的水果	Báat	a fruit, something like the European pumpkin.	24		妤蓁_13-41
Baat o gagil	瓜	Baat o gagil	a melon.	24		妤蓁_13-41
Baat o pool	西瓜	Baat o pool	a water melon.	24		妤蓁_13-41
Baat o baun	南瓜	Baat o baun	a pumpkin	24		妤蓁_13-41
Babás	消息	Babás	tidings, a message. From Paas, to bring tidings.	24		妤蓁_13-41
Babassoes	親吻	Babassoes	a kiss	25		妤蓁_13-41
Baban	土壩	Baban	an earthen dam, fron Pan and Pabap, a dam.	25		妤蓁_13-41
Babido	（筆、鉛筆等）書寫工具	Babido	writing instruments, as pen, pencil, &c. Krem Pido, a writing.	25		妤蓁_13-41
Babilla	切割東西用的工具	Babilla	an insrument wherewith to split anything: from Pilla, to cleave.	25		妤蓁_13-41
Babisi	種子形成前的穀類（米、粟）	Babisi	standing corn, such as rice, millet, &c. before the seed is formed.	25		妤蓁_13-41
Babát	中間	Babát	the middle, the midst.	25		妤蓁_13-41
Babát o cho	中等身材的人	Babát o cho	a man of middling stature.	25		妤蓁_13-41
Babát	（有點）大；長	Babát	mato matsilo, moderately great or long.	25		妤蓁_13-41
Babátdon	房子的地板	Babátdon	the floor of a house.	25		妤蓁_13-41
Babát apillo	中指	Babát apillo	the middle finger.	25		妤蓁_13-41
Babat bi-ini	半夜	Babat bi-ini	midnight	25		妤蓁_13-41
Babechab	地毯；蓋子	Babechab	a rug or coverlid: from Pabechab, to cover any one with a rug.	25		妤蓁_13-41
Babénnonno	鑼；盆	Babénnonno	a gong or basin	25		妤蓁_13-41
Babiár	肩膀	Babiár	the shoulders; babiar o abi, a branch of a betel tree.	25		妤蓁_13-41
Babidan	人們束腰的地方	Babidan	the place where men gird themselves.	25		妤蓁_13-41
Babied	腰帶	Babied	a girdle round the loins: from Pied, the place for a girdle.	25		妤蓁_13-41
Babó	高處；鳥類的叫聲	Babó	above, up high also the cry of all kinds of birds, the squeaking of mice, rats or snakes: erro assi babó bada i sit on the steel: tûmmal ponotazi babó, the kite flies up high. Mampa babó, the cry of birds. Matababo mi ma, above, high up. Patababo, transit.	25		妤蓁_13-41
Baboan	偉大的明星	Baboan	a great star.	26		妤蓁_13-41
Babóar	蜂蜜	Babóar	honey; also the saliva that is put into strong drink: from Poar, to prepare the saliva for making strong drink.	26		妤蓁_13-41
Babobo	篩子	Babobo	a sieve; maibas asi.	26		妤蓁_13-41
Baboe	豬	Baboe	a pig.	26		妤蓁_13-41
Baboeliekh	豬舍	Baboeliekh	a pig-sty.	26		妤蓁_13-41
Babórrajan and Baborran	用來瀝乾魚或肉類的竹架	Babórrajan and Baborran	a bamboo frame for drying fish or flesh. From Porra, a drying place.	26		妤蓁_13-41
Baboessán, binaboessan, into baboessan	麻掉的手或腳	Baboessán, binaboessan, into baboessan	the sleeping of the hands or feet; baboessan o assiel, the hand sleeps: from Paboessan, not used.	26		妤蓁_13-41
Babosa	男人	Babosa	a man.	26		妤蓁_13-41
Babries	結	Babries	a noose, a knot. From Pries, to tie.	26		妤蓁_13-41
Baborrat	用來綁住東西的一種物品	Baborrat	that wherewith anything is bound. From Porrat, to bind.	26		妤蓁_13-41
Babót	鞋	Babót	shoes: babot o siel, the feet; from Pabot to put on shoes.	26		妤蓁_13-41
Baburras	拯救；救贖	Baburras	deliverance, redemption	26		妤蓁_13-41
Bach-an	喉嚨有骨頭的人	Bach-an	is said of any one who has a bone in his throat. Kabach-an ja ins, I have, &c.	26		妤蓁_13-41
Bachor	愚蠢的爭論	Bachor	folly, contention.	26		妤蓁_13-41
Bachorren	愚蠢的人	Bachorren	a fool; as raúsaán, and rachoen, not wise, half silly.	26		妤蓁_13-41
Bachinán	發燒	Bachinán	the fever. Also the verb. prete. binachinan, fut. ino bachiman.	26		妤蓁_13-41
Bachan	成對的東西（自然或藝術品）	Bachan	a load, also a pair; it is only used of such things, as by nature or art are coupled together. Nata bachan a babat aeharrod, a pair of shoes or stockings.	26		妤蓁_13-41
Bachas	乾燥	Bachas	dryness.	27		妤蓁_13-41
Badda	單身男性	Badda	joined to sjoem, a child, refers to all children of the male kind, whether of man or beast; when used alone it betokens a full grown male among beasts: and among the men, a bachelor; we say bachelor, because after marriage the name of badda is no longer given. From this comes, bas a badda, a great boy; and babat a badda, a half grown young man.	27		妤蓁_13-41
Baddoa	同一天出生的人	Baddoa	persons born on the same day.	27		妤蓁_13-41
Bado	一波；波濤	Bado	a wave, a billow.	27		妤蓁_13-41
Báge	喇叭；角	Báge	horns; figuratively, a buck; otherwise, o basan.	27		妤蓁_13-41
Bagcho	一種像小黃瓜的水果	Bagcho	a fruit, like small cucumbers.	27		妤蓁_13-41
Bagchono-adar	腿部較厚部分上方的肌肉	Bagchono-adar	the muscles above the thick part of the leg. measure with, as salt, &c. From Moet.	27		妤蓁_13-41
Bagchontea	腋下的肌肉	Bagchontea	the muscles under the armpits.	28		妤蓁_13-41
Bachún o tairren	珊瑚	Bachún o tairren	a coral	28		妤蓁_13-41
Bagga	肺	Bagga	the lungs.	28		妤蓁_13-41
Bagg'o chau	燃燒中的煤	Bagg'o chau	a live coal.	28		妤蓁_13-41
Bajan	東部	Bajan	the east.	28		妤蓁_13-41
Bajûs	風暴	Bajûs	a storm: from the verb Pajûs, to storm; transit. pabajûs.	28		妤蓁_13-41
Balat	雙排	Balat	a double row. From Palat, to spread one's self out twice.	28		妤蓁_13-41
Ballasau	衣架	Ballasau	a hanger	28		妤蓁_13-41
Báo	新的；年輕的	Báo	new, young.	28		妤蓁_13-41
Ba-o a idas	新月	Ba-o a idas	the new moon.	28		妤蓁_13-41
Bárbar	南風	Bárbar	the south wind.	28		妤蓁_13-41
Bardon	支撐脊椎的外部支柱	Bardon	the outer props, on which the ridge pole rests, All the props of a ridge, whether in the middle, or at the end. .	28		妤蓁_13-41
Barok a bok ori	母牛頸部的去皮	Barok a bok ori	the dewlap of a cow	28		妤蓁_13-41
Baron	樹木；森林	Baron	a wood, or forest	28		妤蓁_13-41
Barón o chaar	筆桿	Barón o chaar	the shaft of a pen.	28		妤蓁_13-41
Barri	風	Barri	the wind: from Mabárri, to blow.	28		妤蓁_13-41
Barra-barráan	赤裸的	Barra-barráan	naked: from pabarra barra, to strip naked.	28		妤蓁_13-41
Barranach	鐵鍋	Barranach	an iron pan	28		妤蓁_13-41
Bárras	剩下的；剩餘物；盈餘	Bárras	the remainder, the overplus: ka -' barras okoste, ja merien, ka barras o natta chosar o baddo, there is very little left to do, there is only one man more needed. It differs in this respect from me, and is the same with bior; barras, is used when there is an overplus, me refers to that which remains.	28		妤蓁_13-41
Barren	人體自然產生的小點	Barren	a small natural spot on the human body.	29		妤蓁_13-41
Barieg	銅	Barieg	copper.	29		妤蓁_13-41
Barrien	圓形的房子	Barrien	a round house.	29		妤蓁_13-41
Barritok	紙	Barritok	paper.	29		妤蓁_13-41
Barri-barren	普通人的愚蠢把戲	Barri-barren	from binárribar, inobarribarren, like barribárra, the foolish tricks of simple people; from Parribar, not used.	29		妤蓁_13-41
Barro	捆；束	Barro	a sheaf, or bundle: barrono aras, a bundle of grass. From Parra, a sheaf.	29		妤蓁_13-41
Barrobo	田鼠	Barrobo	a field rat.	29		妤蓁_13-41
Bart	蒼蠅	Bart	a fly. Verb Mabart.	29		妤蓁_13-41
Bassárro	洋蔥	Bassárro	an onion.	29		妤蓁_13-41
Batbat	竹繩	Batbat	a rope of bamboo; babat tsiaas, a short bandage; batbat tasso, a cord of a fothom long.	29		妤蓁_13-41
Bato	石頭	Bato	a stone.	29		妤蓁_13-41
Batono macha	魚的瞳孔	Bato macha	the pupil of the a fish's eyes	29		妤蓁_13-41
Batna	用以說明穀物成長的所有階段		This word is used regarding millet in all its stages. Túmmochaar o bart, when the millet just springs out of the ground. Túmmottarria, ja batúr, when it has 2 leaflets on the sides, and one straight up. When it has three stalks it is called, watoeroa, chaard. Addobo kolen, when the plant is a little larger. It betokens also, from word to word, the growing of rice. Moeabbar ja batúr, when the rice first shows itself. Túmmamacho-bao, tiretten, and Tummacho-a, mado, when the rice is half ripe Machiech ja batúr, when it is quite ripe and nearly burnt up.	29		妤蓁_13-41
Battan	同baddoà 找不到相應字	Battan	as baddoà	30		妤蓁_13-41
Baziep	從土中長出的各種野菜和綠色植物	Baziep	all kinds of potherbs, and greens, that do not grow on trees, but spring directly out of earth.	30		妤蓁_13-41
Baû ó bibo bauoa	通過	Baû ó bibo bauoa	pass. Baû ó bibo bauoa, binaû, frbauoas, to have the small pox.	30		妤蓁_13-41
Baû-ó	得到天花	Baû-ó	to take the small pox.	30		妤蓁_13-41
Bazieijh	野獸的皮	Bazieijh	the skin of a beast; also a shield to fight with; otherwise pronounced Bazieijh, o malam.	30		妤蓁_13-41
Be-bies	弟弟或妹妹提及其兄姊說話時使用的字	Be-bies	a word by which a younger brother is spoken of with respect to his elder brother; also a younger sister with respect to her elder sister.	30		妤蓁_13-41
Be-bies inab-ries	最小的孩子	Be-bies inab-ries	the youngest child	30		妤蓁_13-41
Be-bies inababat	排序中間的孩子	Be-bies inababat	the middle child	30		妤蓁_13-41
Be-bies inamachies	最年長的孩子	Be-bies inamachies	the eldest child	30		妤蓁_13-41
Biá	（樹或植物的）葉子		the leaf of a tree or plant	30		妤蓁_13-41
Biánót	鼻孔	Biánót	the nostrils.	31		妤蓁_13-41
Biarool	臀部	Biarool	the buttocks	31		妤蓁_13-41
Bidó	墨水；信件；書本； 指附著在花盆或煙囪上的各種油煙。	Bidó	ink, also a letter or book; generally all kinds of lampblack, adhering to pots or chimnies. From Pido, to write.	31		妤蓁_13-41
Bigh	暴躁、刻薄	Bigh	scurfy, scabbyness. Bigh-en, scabby.	31		妤蓁_13-41
Bigéno	浮渣	Bigéno	scum: from Pigenó, to foam.	31		妤蓁_13-41
Bi-ini	夜晚	Bi-ini	the night.	31		妤蓁_13-41
Bikagh	小豬	Bikagh	a young pig.	31		妤蓁_13-41
Billa	裂痕；斷裂；困難；裂縫	Billa	a split, a break, in anything hard, a cleft: from Pilla, to cleave.	31		妤蓁_13-41
Billabe	（打倒敵人的）軍人；年輕人	Billabe	a fellow, a soldier, young fellows who have beaten the enemy are thus called by the natives.	31		妤蓁_13-41
Billáak	廣度	Billáak	the breadth of anything.	31		妤蓁_13-41
Billoóog	劈開的竹子	Billoóog	this is pronounced like billaák, a split bamboo.	31		妤蓁_13-41
Billik	當地人編織的粗布（包含帆布）	Billik	coarse cloth woven by the natives, also sail cloth.	31		妤蓁_13-41
Bilpil	車前草樹	Bilpil	a plantain tree; bá o bilpil, a plantain.	31		妤蓁_13-41
Bilpil o staibos	紅色的小車前草	Bilpil o staibos	a small plantain with a red skin	31		妤蓁_13-41
Bilpil a sabba	長的車前草	Bilpil a sabba	a long plantain.	31		妤蓁_13-41
Bilpil o a siel baba	另一個合理的尺寸	Bilpil o a siel baba	another sort tolerably	31	荷蘭文原文een ander soort redelijck groot (a different kind of reasonable size)	妤蓁_13-41
Bilpil o ta oor	薄皮的車前草	Bilpil o ta oor	a small plantain with a thin skin.	31		妤蓁_13-41
Biloágh,	豬矛；寬闊的長矛	Biloágh,	a hog spear, a broad pike.	32		妤蓁_13-41
Binnam	鹿	Binnam	a deer, whether buck or doe	32		妤蓁_13-41
Bió	用以烹調魚或肉的醬汁	Bió	all kinds of juice, in which any food, whether fish or flesh is cooked; or it may be pickled, in order to pre serve it.	32		妤蓁_13-41
Bioa,	雷	Bioa,	thunder. Poa bioa, it thunders.	32		妤蓁_13-41
Bióes	磁磚	Bióes	tiles.	32		妤蓁_13-41
Bióac	多餘	Bióac,	as barras, superfluous.	32		妤蓁_13-41
Bisa	飛鏢	Bisa	a dart.	32		妤蓁_13-41
Bisa o roddok	常見的一種飛鏢	Bisa o roddok	see roddok, a common kind of dart.	32		妤蓁_13-41
Bis o tallapiech	大型的飛鏢	Bis o tallapiech	see tallapiech, a large dart.	32		妤蓁_13-41
Bitil	（從其他東西折下來的）長條狀物品	Bitil	a long piece or end broken or cut off from the length of anything; it differs from borbor and kattach.	32		妤蓁_13-41
Bittik,	任何東西被拉扯、切割或破碎時的驚呼	Bittik,	a word used when anything is pulled, cut, or broken in pieces, as if people very much moved, exclaimed, it is all over. : Seegiech, to tear, and ossot, to plunder.	32		妤蓁_13-41
