lemma,zh-def,ori-def,ori-page
Ai,這裡；距離不遠之處,"seems that, here, but not far off; ai-i, ai-ies, ai-inies, ailo, ailo-ies, and ailemons, the same",8
Aiag,蟑螂,a cockroach,8
Aicho and aicho-ies,那裏；距離不遠之處,"there, but not far off. Aicho, aichoies, soo aicho echies, yonder. Pait o ta, so-o roman kallach, gannumma, there, beyond, yonder. Paia innai maro maicho, and mai-hoies, it is so, there it is.",8
Aicho-ech,在視線之外,"beyond, outside, far out of sight",8
Aisênnas,小星星,small stars,8
A-i-ór,下列,"the following; a-i-or natta, the next; ajor narroa, &c. A-i-or a mato, next after the large one, that is smaller.",8
Airo and essuro,猜想,"to suppose, to imagine.",8
"Aissen,",,"is frequently used in different senses; if we meet with this expression alone, it seems to intimate the doing away with anything, as when anything is burnt: aissen o chau, it is burnt in the fire; aissen o cho, some one has taken it away.",9
Aissillak,幾乎撞到,"as chadsja pila, nearly hit",9
Aito-ilo,七加七,"seven and seven, by seven",9
Ake,請多指教 （突然與某人遇見時說）,"a word of excuse, when you unknowingly run against any one; as pray excuse me.",9
Akeraúso,抱怨語 （當有東西掉下來時）,"a form of complaint, when any thing falls down",9
Akobos,捕獵網,"a hunting net, placed in the field, to catch beasts; from pakobor, to catch in a net",9
Allû,裝飾,"show finery, ornament; from Malla or Pallo, to set one's self off.",9
Alla-a,再見,by and bye,9
Alldóch,一種裝飾用的紅豆,"called in the south, kalladóch, a sort of red beans, which the natives wear round their necks, instead of coral beads; they are very posonous.",9
Allà,連接詞，表原因或目的,"that, in order that",9
Al-à l,友善；善良,"kindness; from ma-allal, to be kind",9
Alàm,各種彈藥或導彈型武器,"all kinds of projeciles or missle weapons; from Malam, to fight with missle weapons.",9
Alle,籃子，或裝嬰孩用的籃子,"a basket , also a werd used in addressing children",10
"Allecho, or alleicho",正在做或正在經歷；也表未來,"added to a word betokens doing or suffering; it also refers to the future. Súmmada, allecho na-amai, which is the same as sunmada na-a mamai, tomorrow  I will come",10
Allolo,生火用的柴,"fire-wood; as marach o ûllolo, go and get some fire-wood.",10
Aliod,旋風,"a barri, a whirlwind",10
Ami,禁止,"a prohibitory expression, as ûmi a mochan, bring no food; ûmi a maú a dat-ai, do not pick it.",10
Amisûn,北方,"the north. Matamis-mi-ma, northward. Patamis, transit.",10
Amo,李子；李子樹,"a plum, a plum tree",10
Amorra,肝臟,the liver,10
Ani,在...之前,"before  this. ago; ani rúmmies, in former days; ani zchieta rummies, ten days ago; aninaspaat ai das, four months ago; ani tarnacho a baas, nine years ago: animúnma, and anibanno, when did it happen? People say in the evening; ani mûrpesa, yesterday, or last evening: ani naassa, a little while ago; anissima, this morning early: annach, certainly, verily: ansia, yesterday: ansiûtta, the day before yesterday: ani bi-ini, and anbini, last night: anibaas, last year: ani mossa, like anibaas, like anibaas: animilip, a long time ago: aniaicho, d'cicin ani, a very long since.",10
Annomûnnoma,繼續,"go on, go forward: anno
man noma taitum madp, get to work;
maibas pattillo ta-i, ta-i man, maibas
channa, Pray eat.",11
Annúma,你在抱怨什麼？,"as mumma annuma; Sassonoe, what are you grumbling about.",11
A-o,醃菜,pickle,11
A-orran,喝醉；生病,"maorran, ino-a-orran, fuddled with drinking, sick; people also say
madich a mairab a-orran ja ina.",11
A-onosoa,沖洗傷口的鹽水,"salt and water, with which the natives wash their wounds. Com
pounded of ao, pickle, and soI, a wound.",11
A-ot,計量單位,"a measure, an ell; from moet",11
Aran,從小被收養的僕人,"an adopted child, a servant brought up in the house but who works for his food; as aran o cho, to serve for one's board and lodging",11
Arapóch,旅行時裝食物或衣服的麻袋,"a sack, in which the natives when they travel, put their food and
clothing, to carry it on their backs.",11
Ararroa,二加二,"two and two, ararroa don natta cho tumkach, from every second
house is some one gone out to hunt",11
Aràs,草,grass,12
Arassà,一種由樹皮製成的馬褲,a kind of breeches made of the bark of a tree.,12
Arat,皮棉,"tow, lint.",12
Araúto,浴缸、桶,"a tub, a barrel.",12
Aribaribàt,各種狩獵器具（如弓、箭、漁網）,"all sorts of hunting apparatus, as bows, arrows, fishnets, &c.
from maribaribat, to hunt, or to go a fishing.",12
Ariem,檸檬；各種有香味之果,"a lemon, or citron of every kind.",12
Arodo,延展器,a trevet,12
Aroroan of arorro-aijan,集合、開會之處,"a place of as sembly; arorroan ata, a plain for meeting; arorroan adon, a meeting
house; arorróan bonna, a field for meeting; from marorro, together, in Common.",12
Arrabis,乳房,the breast,12
Arar,柵欄,"a fence; from parar, to fence round.",12
Ararräan a idas,滿月,"the full moon, that is a clear moon; from parara, to enlighten.",12
Arasia,土塊,a clod of earth,12
Arribodán,蛻皮,"from inaribodán, or ino-ar-rihodan, to cast the skin, to moult;
from Paribod",12
Arribil,衣服；裝飾品,everything belonging to dress or ornament,13
Arribórribon,脖子或頭部後面,"the neck, and the back part of the head.",13
Arriëddan,家,"a household: cho don takalla aréddan, takalla, a family.  Arima, great bamboos.",13
Aris,向東的；東風 ；過境；運輸,"as Bajan: 1. mataris, easterly.  2.pataris, transit",13
Arripas,蜈蚣,"a centipede: arripas mahahasis, arripas gagil, this is a very rare kind: arripasmorrún, is arripas a bivog, of
this sort there are more.",13
Arro,鐵環；銅環；可用來摘草的工具,"a native armring of iron or copper;also a certain instrument wherewith to pluck up grass. Callaba, the ring of round copper wire on the fore part of the arm. Tallatuis, the second ring underneath.",13
Arrobo,人或獸的臀部,"the rump of a man or beast; as taddogon, is understood of the upper part of the body, without neck or
head, including the ribs and breast, whether there be flesh on or not.",13
Arroro,大海的聲音,"from inimarros-t' a-arnaros-os,the noise of the sea; from Parros-os, not in use.",13
Arros-os o abas,海的怒吼聲,the sea roars,13
Arrotsenach,一種盾牌,a kind of shield,14
Asaboán,,"any vehicle borne between two, as a bier, &c. from Passabo, to carry between two.",14
Asjoddan,房子的側面,the sides of a house,14
Asopietpiet,服裝的接縫,"the seam of a garment: from Passopietpiet, to hem.",14
Asopir,鑄網,"a cast net: from Passopir, to fish with a castnet.",14
Asas,懶惰,"laziness, idleness: from Masas, lazy, slow.",14
Asáspat,四加四,"four and four, by fours",14
Asáû-an,地倉（用來敲出種子的地方）,"a barnfloor, where people beat seed out of the stock: from Mdsdū, to thresh.",14
Asi,篩子,a sieve.,14
Asian,（房間中間的）柱子,a post in the middle of a house.,14
Asièl,（人或野獸的）腿,"the leg of a man or beast: asiél o sijsia, rays of the sun.",14
Asinok,手帕,"a handkerchief: from Passinok, to blow the nose.",14
Aso,手指的指甲,a nail of the finger,14
Asóan,一種大豆,a large kind of bean,14
Asoso,禮物,"a gift, a present: from Pâssoso, given.",14
Assában,一個村子,a village,14
Assanoman-a,前進,"as annomdinnoma, go forward! &c",14
Atas,圖片以及信件,"a picture, also a letter: from pattas, to write.",14
"Atazjies,",稻草人(嚇麻雀用),"a scare crow, for frightening",15
"Atáschiet,",十加十,"ten and ten, by tens.",15
Ate,一直到,"until; as jo tatümmaap ate o lal. lias, you must work till midday; at
poa ja kallaman ate cabat, fill the poet half full.away birds: from Pattázies, to make
8 SCalle CrOW.",15
Atattalap,六加六,"six and six, by sixes.",15
Atattánnacho,九加九,"nine and nine, by nines.",15
Ataûso,藥,"a medicine: from Pattauso, to
heal.",15
Atil,課程,"a lesson: from Pattil, to learn; atillaijas, school, church, &c.",15
Atillo,命令,"a command; from Patillo, to
order.",15
Atippo,補麻雀的網,"a sparrow net: from Pattipo, to
shoot.",15
Atite,字；演講；講道,"a word, a speech, an oration to the people, a sermon: from Pattite, to speak openly to the people;",15
Atóasa,兄妹間的特別稱呼,"sets forth the special relation between sister and brother; thus from this word, a brother is called not after his brother, but his sister; and a sister, not with reference to her sister, but her brother.",15
Atap,補丁,"a patch, anything used for the stopping of a hole or tear, whether sewed. darmed, or woven in. From Pattap.
to stop a hole or tear.",15
Atattórroa,三加三,"three and three, by threes.",16
"Atátta,",其一；逐一,either; one by one.,16
Atokar,桅杆,a mast,16
Attûm,菱角,a caltrop,16
Aû,呼喚另一人的吆喝,"a sign by which one calls to another, as, ho! but it is generally placed after the name of the individual called, as
cabbat, or cabba, at ; ho! cabba.",16
Aûbo,抓魚用的籃子（類似網）,"a basket for catching fish, nearly like a net.",16
Aûchad,公雞爪上的尖刺,cocks' spurs.,16
Aûdik,身體任何部位的腫脹或厚度,"a swelling or thickness, in any part of the body. See Ponno, a boil, or swelling that comes of its self.",16
"Aûkat,",歡愉；愛,"joy, love: from Maûkat, to love.",16
Aû-kor,大啤酒杯的塞子,"a stopper of a tankard or kan: from Pokkor, to put on a stopper.",16
Aûroge,腎臟,the kidneys,16
Aûa-tsi,驚訝；驚嚇,"fright, astonishment.",16
Aûsa,蠟,wax.,16
Aûseán,中國的水缸,"a chinese water pot, such as are seen in the junks.",16
Aûsoan,方式；路線,"a way or course, leading any where: as, dema aw soam mosse bat-adai, where are they going after Bat-a?",16
A- âûton,（測量的）單位；工具,"a measure or instrument where measure with, as salt, &c. From Moct.",16
Aûtat,意見；懷疑；感覺,"an opinion, a suspicion, a feeling; from Poetat, to suspect.",17
Ataz-ajan,吃飯用的桌子,"a table on which people eat. Ataz aûman, idem.",17
Atasajan,（放杯子或碟子的）托盤,"a board or tray, on which to put cups and saucers.",17
Azjies,（來自其他鄉鎮或國家的）外來者,"strangers, who do not belong to our town or country.",17
Azjies,敵人,"an enemy: from Mazjies, enmity.",17
Aziman,寶藏,"a treasure: from Mazimán, to lay up treasures.",17
A zo'babat,半滿,half full.,17
Ba,凳子,a stool,17
Báak,失業；普通；私人；服務中斷；任何無法使用的東西,"unemployed, plain, private, out of service, or anything unserviceable.",17
Báan,事物的表面或周圍,"the superficies, or circumference of anything, whether outside or in; báan olellum, báan o babo.",17
Baas,一年,a year.,17
Báat,一種像南瓜的水果,"a fruit, something like the European pumpkin.",17
Baat o gagil,瓜,a melon.,17
Baat o pool,西瓜,a water melon.,17
Baat o baun,南瓜,a pumpkin,17
Babás,消息,"tidings, a message. From Paas, to bring tidings.",17
Babassoes,親吻,a kiss,18
Baban,土壩,"an earthen dam, fron Pan and Pabap, a dam.",18
Babido,（筆、鉛筆等）書寫工具,"writing instruments, as pen, pencil, &c. Krem Pido, a writing.",18
Babilla,切割東西用的工具,"an insrument wherewith to split anything: from Pilla, to cleave.",18
Babisi,種子形成前的穀類（米、粟）,"standing corn, such as rice, millet, &c. before the seed is formed.",18
Babát,中間,"the middle, the midst.",18
Babát o cho,中等身材的人,a man of middling stature.,18
Babát,（有點）大；長,"mato matsilo, moderately great or long.",18
Babátdon,房子的地板,the floor of a house.,18
Babát apillo,中指,the middle finger.,18
Babat bi-ini,半夜,midnight,18
Babechab,地毯；蓋子,"a rug or coverlid: from Pabechab, to cover any one with a rug.",18
Babénnonno,鑼；盆,a gong or basin,18
Babiár,肩膀,"the shoulders; babiar o abi, a branch of a betel tree.",18
Babidan,人們束腰的地方,the place where men gird themselves.,18
Babied,腰帶,"a girdle round the loins: from Pied, the place for a girdle.",18
Babó,高處；鳥類的叫聲,"above, up high also the cry of all kinds of birds, the squeaking of mice, rats or snakes: erro assi babó bada i sit on the steel: tûmmal ponotazi babó, the kite flies up high. Mampa babó, the cry of birds. Matababo mi ma, above, high up. Patababo, transit.",18
Baboan,偉大的明星,a great star.,19
Babóar,蜂蜜,"honey; also the saliva that is put into strong drink: from Poar, to prepare the saliva for making strong drink.",19
Babobo,篩子,a sieve; maibas asi.,19
Baboe,豬,a pig.,19
Baboeliekh,豬舍,a pig-sty.,19
Babórrajan and Baborran,用來瀝乾魚或肉類的竹架,"a bamboo frame for drying fish or flesh. From Porra, a drying place.",19
"Baboessán, binaboessan, into baboessan",麻掉的手或腳,"the sleeping of the hands or feet; baboessan o assiel, the hand sleeps: from Paboessan, not used.",19
Babosa,男人,a man.,19
Babries,結,"a noose, a knot. From Pries, to tie.",19
Baborrat,用來綁住東西的一種物品,"that wherewith anything is bound. From Porrat, to bind.",19
Babót,鞋,"shoes: babot o siel, the feet; from Pabot to put on shoes.",19
Baburras,拯救；救贖,"deliverance, redemption",19
Bach-an,喉嚨有骨頭的人,"is said of any one who has a bone in his throat. Kabach-an ja ins, I have, &c.",19
Bachor,愚蠢的爭論,"folly, contention.",19
Bachorren,愚蠢的人,"a fool; as raúsaán, and rachoen, not wise, half silly.",19
Bachinán,發燒,"the fever. Also the verb. prete. binachinan, fut. ino bachiman.",19
Bachan,成對的東西（自然或藝術品）,"a load, also a pair; it is only used of such things, as by nature or art are coupled together. Nata bachan a babat aeharrod, a pair of shoes or stockings.",19
Bachas,乾燥,dryness.,20
Badda,單身男性,"joined to sjoem, a child, refers to all children of the male kind, whether of man or beast; when used alone it betokens a full grown male among beasts: and among the men, a bachelor; we say bachelor, because after marriage the name of badda is no longer given. From this comes, bas a badda, a great boy; and babat a badda, a half grown young man.",20
Baddoa,同一天出生的人,persons born on the same day.,20
Bado,一波；波濤,"a wave, a billow.",20
Báge,喇叭；角,"horns; figuratively, a buck; otherwise, o basan.",20
Bagcho,一種像小黃瓜的水果,"a fruit, like small cucumbers.",20
Bagchono-adar,腿部較厚部分上方的肌肉,"the muscles above the thick part of the leg. measure with, as salt, &c. From Moet.",20
Bagchontea,腋下的肌肉,the muscles under the armpits.,21
Bachún o tairren,珊瑚,a coral,21
Bagga,肺,the lungs.,21
Bagg'o chau,燃燒中的煤,a live coal.,21
Bajan,東部,the east.,21
Bajûs,風暴,"a storm: from the verb Pajûs, to storm; transit. pabajûs.",21
Balat,雙排,"a double row. From Palat, to spread one's self out twice.",21
Ballasau,衣架,a hanger,21
Báo,新的；年輕的,"new, young.",21
Ba-o a idas,新月,the new moon.,21
Bárbar,南風,the south wind.,21
Bardon,支撐脊椎的外部支柱,"the outer props, on which the ridge pole rests, All the props of a ridge, whether in the middle, or at the end. .",21
Barok a bok ori,母牛頸部的去皮,the dewlap of a cow,21
Baron,樹木；森林,"a wood, or forest",21
Barón o chaar,筆桿,the shaft of a pen.,21
Barri,風,"the wind: from Mabárri, to blow.",21
Barra-barráan,赤裸的,"naked: from pabarra barra, to strip naked.",21
Barranach,鐵鍋,an iron pan,21
Bárras,剩下的；剩餘物；盈餘,"the remainder, the overplus: ka -' barras okoste, ja merien, ka barras o natta chosar o baddo, there is very little left to do, there is only one man more needed. It differs in this respect from me, and is the same with bior; barras, is used when there is an overplus, me refers to that which remains.",21
Barren,人體自然產生的小點,a small natural spot on the human body.,22
Barieg,銅,copper.,22
Barrien,圓形的房子,a round house.,22
Barritok,紙,paper.,22
Barri-barren,普通人的愚蠢把戲,"from binárribar, inobarribarren, like barribárra, the foolish tricks of simple people; from Parribar, not used.",22
Barro,捆；束,"a sheaf, or bundle: barrono aras, a bundle of grass. From Parra, a sheaf.",22
Barrobo,田鼠,a field rat.,22
Bart,蒼蠅,a fly. Verb Mabart.,22
Bassárro,洋蔥,an onion.,22
Batbat,竹繩,"a rope of bamboo; babat tsiaas, a short bandage; batbat tasso, a cord of a fothom long.",22
Bato,石頭,a stone.,22
Batono macha,魚的瞳孔,the pupil of the a fish's eyes,22
Batna,用以說明穀物成長的所有階段,"This word is used regarding millet in all its stages. Túmmochaar o bart, when the millet just springs out of the ground. Túmmottarria, ja batúr, when it has 2 leaflets on the sides, and one straight up. When it has three stalks it is called, watoeroa, chaard. Addobo kolen, when the plant is a little larger. It betokens also, from word to word, the growing of rice. Moeabbar ja batúr, when the rice first shows itself. Túmmamacho-bao, tiretten, and Tummacho-a, mado, when the rice is half ripe Machiech ja batúr, when it is quite ripe and nearly burnt up.",22
Battan,同baddoà 找不到相應字,as baddoà,23
Baziep,從土中長出的各種野菜和綠色植物,"all kinds of potherbs, and greens, that do not grow on trees, but spring directly out of earth.",23
Baû ó bibo bauoa,通過,"pass. Baû ó bibo bauoa, binaû, frbauoas, to have the small pox.",23
Baû-ó,得到天花,to take the small pox.,23
Bazieijh,野獸的皮,"the skin of a beast; also a shield to fight with; otherwise pronounced Bazieijh, o malam.",23
Be-bies,弟弟或妹妹提及其兄姊說話時使用的字,a word by which a younger brother is spoken of with respect to his elder brother; also a younger sister with respect to her elder sister.,23
Be-bies inab-ries,最小的孩子,the youngest child,23
Be-bies inababat,排序中間的孩子,the middle child,23
Be-bies inamachies,最年長的孩子,the eldest child,23
Biá,（樹或植物的）葉子,the leaf of a tree or plant,23
Biánót,鼻孔,the nostrils.,24
Biarool,臀部,the buttocks,24
Bidó,墨水；信件；書本； 指附著在花盆或煙囪上的各種油煙。,"ink, also a letter or book; generally all kinds of lampblack, adhering to pots or chimnies. From Pido, to write.",24
Bigh,暴躁、刻薄,"scurfy, scabbyness. Bigh-en, scabby.",24
Bigéno,浮渣,"scum: from Pigenó, to foam.",24
Bi-ini,夜晚,the night.,24
Bikagh,小豬,a young pig.,24
Billa,裂痕；斷裂；困難；裂縫,"a split, a break, in anything hard, a cleft: from Pilla, to cleave.",24
Billabe,（打倒敵人的）軍人；年輕人,"a fellow, a soldier, young fellows who have beaten the enemy are thus called by the natives.",24
Billáak,廣度,the breadth of anything.,24
Billoóog,劈開的竹子,"this is pronounced like billaák, a split bamboo.",24
Billik,當地人編織的粗布（包含帆布）,"coarse cloth woven by the natives, also sail cloth.",24
Bilpil,車前草樹,"a plantain tree; bá o bilpil, a plantain.",24
Bilpil o staibos,紅色的小車前草,a small plantain with a red skin,24
Bilpil a sabba,長的車前草,a long plantain.,24
Bilpil o a siel baba,另一個合理的尺寸,another sort tolerably,24
Bilpil o ta oor,薄皮的車前草,a small plantain with a thin skin.,24
"Biloágh,",豬矛；寬闊的長矛,"a hog spear, a broad pike.",25
Binnam,鹿,"a deer, whether buck or doe",25
Bió,用以烹調魚或肉的醬汁,"all kinds of juice, in which any food, whether fish or flesh is cooked; or it may be pickled, in order to pre serve it.",25
"Bioa,",雷,"thunder. Poa bioa, it thunders.",25
Bióes,磁磚,tiles.,25
Bióac,多餘,"as barras, superfluous.",25
Bisa,飛鏢,a dart.,25
Bisa o roddok,常見的一種飛鏢,"see roddok, a common kind of dart.",25
Bis o tallapiech,大型的飛鏢,"see tallapiech, a large dart.",25
Bitil,（從其他東西折下來的）長條狀物品,a long piece or end broken or cut off from the length of anything; it differs from borbor and kattach.,25
"Bittik,",任何東西被拉扯、切割或破碎時的驚呼,"a word used when anything is pulled, cut, or broken in pieces, as if people very much moved, exclaimed, it is all over. : Seegiech, to tear, and ossot, to plunder.",25
Bóá,樹木、植物的種子、果實；魚、獸的肉,"all kinds of seed or fruit of a tree or plant; also the flesh of beasts and fishes. Ba-o, the dregs of native liquor. Also a person.",25
"Bo-ái,",一個大啤酒杯,a tankard.,25
Bo-át o chaû,燃燒中的煤,live coal,25
"Bobor o che,",甲蟲,a beetle.,25
Boch-ies,講述東西摔成碎片的用語,"a word used when anything falls to pieces; according to bittik, and gich, to fall to pieces.",26
Boddó,（本地人使用的）棍棒；其他工具,"the sticks and other instruments by which the native sreckon; from Pado, an abacus.",26
Boebos,長輩的通稱,"ancetors in general, grandfather, grand-mother, &c.",26
Boesjam,祖父,a grandfather.,26
Boesini,祖母,a grandmother.,26
Boelossi,膀胱,the bladder.,26
Boésûm,天堂,heaven,26
Boe-tsina,扇子,a fan.,26
Bogh,身體 ；外皮；外殼,"the body ; also the skin of a man or beast before it is stripped off; also the outer bark or shell of anything: bach o adda, the husk of paddy with the grain inside; bach o bilpil, the skin of a plantain: boch o barron, the bark of a tree.",26
Bog o lullach,包皮,"the foreskin, preputûm.",26
Bogh o macha,眼皮,the eyelid.,26
Bokbok,任何被塞滿的東西,"anything stuffed, as Japanese cloaks, or old Flemish breeches: from this comes ribokbok, a stuffed coat.",26
Bokkir,喉嚨,the throat.,26
Bollabol,填充物,"stuffing, such as that put in Japanese cloaks, cotton, &c.",26
Bon,鈍點,blunt at the point. Verb Mibonbon.,26
Boah,嘲諷用的字詞,"a word of mockery, the noice of a musquet, also of a shock, or blow.",27
Bó,仁慈；同情,"kindness, compassion; ellipa js bono chozies, there is no pity in his hart. From Mabo, yo compassionate.",27
Bo,深；遠離底部,"deep, far from the bottom; bo-o to, deep water.",27
Boch-o,腐臭味,"a stink; from Mabocho, rotten.",27
Bokkól,畸形人,"a deformity of person, whereby people go' bent or double.",27
Bokkollen,（因為不堅固而）彎曲,"to go bent down through infirmity. Mabok kollen, mima, crooked.Paboh kollen, to make crooked.",27
Bonnao,從腹股溝到膝蓋或大腿,"the member from the groin to the knee pan, the thigh.",27
Borboa,魚片；魚肉,"pieces of fish or flesh, cut up by the natives to picle or cook.",27
Bo-ri,骨頭上切下來的肉,the flesh of the neck cut off from the bone.,27
Bonna,田地；地,"a field, all kinds of fields.",27
Bonn,狩獵場,"o ari barri battau, hunting ground.",27
Bonno tatáapan,耕地,tilled ground.,27
Bonnad,沙,sand.,27
Boot,自地面上架起的地板,"a floor raised above the ground such as are seen in the native granaries, or before their doors, to prevent damp. Boot o hatta, a cage. Boot o baron, a plank.",27
"Borrá,",安撫；安寧,"to appease, to be at peace; boor' azies, allies: from Maborro, peace
and Aborro, to pacify.",28
"Borabor,",灰塵,"dust: from Porpor, to raise the dust",28
"Borrak,",大斑點,"large spots, with which mer. are sometimes born. Also the stains with which drinkers soil their clothes.",28
"Borrason,",發霉,"verb binorrason, fut. inoborrason, g. borrasoa, to become mouldy, and spoiled: borrason a uppo, mouldy bread.",28
"Borrere,",皮脂囊腫；粉瘤,a wen,28
Borró,（製作飛鏢用的）堅硬蘆葦,"a sort of hard reed, with which the natives make darts.",28
"Borrogh,",透射之物,"everything that projects above another. Maborroch mi, ma, verb.",28
"Borroch o nót,",鼻子上的膿腫,a boil on the nose.,28
"Bórroch o ta,",島嶼,an island.,28
"Borroch o atazajan,",桌沿,the edge of a table.,28
"Bossot,",抽出任何東西時使用的詞,"a word used when anything is drawn out, as if we should say, It is out; also when any one comes forward, as bossot ja icho, he is come .forward. Pabossot, to draw out.",28
"Bossor,",樹頂；植物頂端,"the root of a tree, or plant,",28
"Bottóos,",貓,a cat.,28
Bottoots o adda,麝香貓,"a musk-cat, so called because it eats paddy in the field.",28
"Bottóro,",人體的軀幹（不包含頭）,"the trunk of a human body, without the head.",29
Bree,弓,a bow.,29
"Cha-át,",腳底的腫脹,a swelling under the ball of the foot.,29
"Cháar,",羽毛；翅膀,"a feather, or wing.",29
"Cháaran,",腹部,the belly,29
"Chachod,",通姦,adultery: from chumma.,29
"Chad,",小腿,the calf of the leg.,29
"Chacheriel,",鋸子,"a saw: from chummëriel, to saw.",29
"Chadsja,",幾乎,"almost: chadsia madich, almost sick: chadsja macha, almost dead: chadsja man ja ina, I have nearly had enough: as olachal adsia, olochaladsja, olamamoeda, all these
words are of similar signification, and appear to denote a kind of complaining: olamamoeda, olachadsja macha, he is nearly dead.",29
"Chagh,",撞傷的玉米的渣,the refuse of bruised corn.,29
Chaqchái,絲狀或羊毛製的餐巾,a small napkin of silk or woollen.,29
Chagchaú,大掃帚,a besom. From chummaú to sweep.,29
Chachap,遮蓋物,"any kind of covering to shut up any thing, as the lid of a pot, pan, chest or canmster. also a door or window",29
Chachap-aû macha,埋葬之處,a burial place.,30
Chacháp o pro-o,跪,the kneepan.,30
Chagcháab,漁夫的魚網,"a fisherman's sweepnet; from chummaChagchaáb, to fish with a sweepnet.",30
Chagchi,粗針,"a bodkin; from chummi, to make a hole with a bodkin.",30
Chachilíp,裁縫剪,"a tailor's shears: from chummiliep, to cut with the shears.",30
Chachobnnan,用以設置武器的架子,"any frame for setting up arms: from chummollan, something lying over another.",30
Chagchied,撈出的東西,"any thing to scoop with, as the native gourds; from chummied, to scoop out of a pot, or pail.",30
Chaggi,為了,"to purpose: mabochaggi, to know, to mean; o chaggi, to di to purpose.See kamachaggi, to know very well.",30
Challo,柔軟的蘆葦,"soft reeds, growing among the grass.",30
Cha,酒渣,"the dregs of strong liquor, in which there is no more juice; it differs from rasras.",30
Chachad,報應（好或壞）,"retribution whether good or bad; from chûmmad, to repay.",30
Chachirrich,線；條紋,a line or stripe.,30
Chachorol,桅桿,a mast.,31
Châchûppir,固執；反對,"stubbornness, opposition; from chumpir, to break through.",31
Châgcho,清洗用的鹼液,"lye, with which the natives wash their linen or heads; from chummachocho, to wash with lye.",31
"Chaibos, or Haijbos",魔鬼的名字,"a name given by the natives to the devil; proverb. geroän haibos a sieg, foolish, silly.",31
Challam,葉子,"a leaf; Chállam o bido, a leaf of a book; challam o barritok, a sheet of paer. Michalla challam, a book with many leaves, also linen folded up.",31
Chamma,甜酒,"a liquor made from water and dregs, also sweet beer: from Michan, to drink.",31
"Chan, as Lo and roos",岸,a shore,31
"Channûmma, also Chaûch",（地面上的）坑或洞,"a hole or pit in the ground, also a hollow place in anything. Chauch o arri borribon, the hollow place under the feet; from Pachauch.",31
Char,（人或野獸的）哭嚎聲,"the cry of a man or beast, the smell or scent of anything. also clay. Ombobo char o bassaro o biman, to smell vinegar; tsiminis ochar o mochan o chamma, the taste of food; to try the taste of beer.",31
"Chardón,",房屋在圍牆內的範圍,"the premises round a house, within the fence.",32
"Charra,",柵欄之間的空間,"the space between the lattice.
Chárrima, the ears.",32
"Charri o zijsia, o idas, o baar,",幾天；幾月；幾年,"some days, months, or years, but not all.",32
Cháreo,死水,"stagnant water. Repeated, char chareo, full of marshes and pools.",32
"Charrod,",絲襪,stockings.,32
"Chási,",蝙蝠,a bat.,32
"Chátto,",菸草,tobacco.,32
Chaû,火,fire.,32
"Chauge,",足夠,"enough, as achoa, and ami, a
a word whereby men signify that they desire no more: it differs from kamicho, and o chal.",32
"Chaûlachol,",大膽,the great gut.,32
Ché,糞便,dung.,32
Che o machá,眼屎,the matter from the eyes.,32
Cheison,野生山蘿蔔,wild chervil.,32
Cheme,膿,pus. From chummime.,32
