詞條,釋義,中文,頁數
Aito-ilo,"seven and seven, by seven",,
Ake,"a word of excuse, when you unknowingly run against any one; as pray excuse me.",,
Akeraúso,"a form of complaint, when any thing falls down",,
Akobos,"a hunting net, placed in the field, to catch beasts; from pakobor, to catch in a net",捕獵網,
Allû,"show finery, ornament; from Malla or Pallo, to set one's self off.",裝飾,
Alla-a,by and bye,,
Alldóch,"called in the south, kalladóch, a sort of red beans, which the natives wear round their necks, instead of coral beads; they are very posonous.",,
Alla,"that, in order that",,
Al-ûl,"kindness; from ma-allal, to be kind",,
Alûm,"all kinds of projeciles or missle weapons; from Malam, to fight with missle weapons.",,
Alle,"a basket , also a werd used in addressing children",,
"Allecho, or alleicho","added to a word betokens doing or suffering; it also refers to the future. Súmmada, allecho na-amai, which is the same as sunmada na-a mamai, tomorrow  I will come",,
Allolo,"fire-wood; as marach o ûllolo, go and get some fire-wood.",,
Aliod,"a barri, a whirlwind",,
Ami,"a prohibitory expression, as ûmi a mochan, bring no food; ûmi a maú a dat-ai, do not pick it.",,
Amisûn,"the north. Matamis-mi-ma, northward. Patamis, transit.",,
Amo,"a plum, a plum tree",,
Amorra,the liver,,
Ani,"before  this. ago; ani rúmmies, in former days; ani zchieta rummies, ten days ago; aninaspaat ai das, four months ago; ani tarnacho a baas, nine years ago: animúnma, and anibanno, when did it happen? People say in the evening; ani mûrpesa, yesterday, or last evening: ani naassa, a little while ago; anissima, this morning early: annach, certainly, verily: ansia, yesterday: ansiûtta, the day before yesterday: ani bi-ini, and anbini, last night: anibaas, last year: ani mossa, like anibaas, like anibaas: animilip, a long time ago: aniaicho, d'cicin ani, a very long since.",,
Annomûnnoma,"go on, go forward: anno
man noma taitum madp, get to work;
maibas pattillo ta-i, ta-i man, maibas
channa, Pray eat.",繼續,
Annúma,"as mumma annuma; Sassonoe,
what are you grumbling about.",,
A-o,pickle,,
A-orran,"maorran, ino-a-orran, fuddled
with drinking, sick; people also say
madich a mairab a-orran ja ina.",,
A-onosoa,"salt and water, with which
the natives wash their wounds. Com
pounded of ao, pickle, and soI, a
wound.",,
A-ot,"a measure, an ell; from moet",,
Aran,"an adopted child, a servant
brought up in the house but who works
for his food; as aran o cho, to serve for
one's board and lodging",,
Arapóch,"a sack, in which the natives
when they travel, put their food and
clothing, to carry it on their backs.",,
Ararroa,"two and two, ararroa don natta cho tumkach, from every second
house is some one gone out to hunt",,
Aràs,grass,,
Arassà,"a kind of breeches made of the
bark of a tree.",,
Arat,"tow, lint.",,
Araúto,"a tub, a barrel.",,
Aribaribàt,"all sorts of hunting appara
tus, as bows, arrows, fishnets, &c.
from maribaribat, to hunt, or to go a
fishing.",,
Ariem,"a lemon, or citron of every kind.",,
Arodo,a trevet,,
Aroroan of arorro-aijan,"a place of as
sembly; arorroan ata, a plain for
meeting; arorroan adon, a meeting
house; arorróan bonna, a field for
meeting; from marorro, together, in
Common.",,
Arrabis,the breast,,
Arar,"a fence; from parar, to fence
round.",,
Ararräan a idas,"the full moon, that is
a clear moon; from parara, to enlighten.",,
Arasia,a clod of earth,,
Arribodán,"from inaribodán, or ino-ar-rihodan, to cast the skin, to moult;
from Paribod",,
Arribil,everything belonging to dress or ornament,,
Arribórribon,"the neck, and the back
part of the head.",,
Arriëddan,"a household: cho don takalla
aréddan, takalla, a family. 
Arima, great bamboos.",,
Aris,"as Bajan: 1. mataris, easterly.  2.pataris, transit",,
Arripas,"a centipede: arripas mahahasis,
arripas gagil, this is a very rare kind:
arripasmorrún, is arripas a bivog, of
this sort there are more.",,
Arro,"a native armring of iron or copper;also a certain instrument wherewith to pluck up grass. Callaba, the ring of round copper wire on the fore part of the arm. Tallatuis, the second ring underneath.",,
Arrobo,"the rump of a man or beast; as
taddogon, is understood of the upper
part of the body, without neck or
head, including the ribs and breast,
whether there be flesh on or not.",,
Arroro,"from inimarros-t' a-arnaros-os,the noise of the sea; from Parros-os, not in use.",,
Arros-os o abas,"the sea roars,",,
Arrotsenach,a kind of shield,,
Asaboán,"any vehicle borne between two, as a bier, &c. from Passabo, to carry between two.",,
Asjoddan,the sides of a house,,
Asopietpiet,"the seam of a garment: from Passopietpiet, to hem.",,
Asopir,"a cast net: from Passopir, to fish with a castnet.",,
Asas,"laziness, idleness: from Masas, lazy, slow.",,
Asáspat,"four and four, by fours",,
Asáû-an,"a barnfloor, where people beat seed out of the stock: from Mdsdū, to thresh.",,
Asi,a sieve.,,
Asian,a post in the middle of a house.,,
Asièl,"the leg of a man or beast: asiél o sijsia, rays of the sun.",,
Asinok,"a handkerchief: from Passinok, to blow the nose.",,
Aso,a nail of the finger,,
Asóan,a large kind of bean,,
Asoso,"a gift, a present: from Pâssoso, given.",,
Assában,a village,,
Assanoman-a,"as annomdinnoma, go forward! &c",,
Atas,"a picture, also a letter: from pattas, to write.",,
"Atazjies,","a scare crow, for frightening",,
"Atáschiet,","ten and ten, by tens.",,
Ate,"until; as jo tatümmaap ate o lal. lias, you must work till midday; at
poa ja kallaman ate cabat, fill the poet half full.away birds: from Pattázies, to make
8 SCalle CrOW.",,
Atattalap,"six and six, by sixes.",,
Atattánnacho,"nine and nine, by nines.",,
Ataûso,"a medicine: from Pattauso, to
heal.",,
Atil,"a lesson: from Pattil, to learn; atillaijas, school, church, &c.",,
Atillo,"a command; from Patillo, to
order.",,
Atippo,"a sparrow net: from Pattipo, to
shoot.",,
Atite,"a word, a speech, an oration to the people, a sermon: from Pattite, to speak openly to the people;",,
Atóasa,"sets forth the special relation between sister and brother; thus from this word, a brother is called not after his brother, but his sister; and a sister, not with reference to her sister, but her brother.",,
Atap,"a patch, anything used for the stopping of a hole or tear, whether sewed. darmed, or woven in. From Pattap.
to stop a hole or tear.",,
Atattórroa,"three and three, by threes.",,
"Atátta,",either; one by one.,,
Atokar,a mast,,
Attûm,a caltrop,,
Aû,"a sign by which one calls to another, as, ho! but it is generally placed after the name of the individual called, as
cabbat, or cabba, at ; ho! cabba.",,
Aûbo,"a basket for catching fish, nearly like a net.",,
Aûchad,cocks' spurs.,,
Aûdik,"a swelling or thickness, in any part of the body. See Ponno, a boil, or swelling that comes of its self.",,
"Aûkat,","joy, love: from Maûkat, to love.",,
Aû-kor,"a stopper of a tankard or kan: from Pokkor, to put on a stopper.",,
Aûroge,the kidneys,,
Aûa-tsi,"fright, astonishment.",,
Aûsa,wax.,,
Aûseán,"a chinese water pot, such as are seen in the junks.",,
Aûsoan,"a way or course, leading any
where: as, dema aw soam mosse
bat-adai, where are they going after Bat-a?",,
A- âûton,"a measure or instrument where measure with, as salt, &c. From Moct.",,
Aûtat,"an opinion, a suspicion, a feeling; from Poetat, to suspect.",,
Ataz-ajan,"a table on which people eat.
Ataz aûman, idem.",,
Atasajan,"a board or tray, on which to put cups and saucers.",,
Azjies,"strangers, who do not belong to our town or country.",,
Azjies,"an enemy: from Mazjies, enmity.",,
Aziman,"a treasure: from Mazimán, to lay up treasures.",,
A zo'babat,half full.,,
Ba,a stool,,
Báak,"unemployed, plain, private, out of service, or anything unserviceable.",,
Báan,"the superficies, or circumference of anything, whether outside or in; báan olellum, báan o babo.",,
Baas,a year.,,
Báat,"a fruit, something like the European pumpkin.",,
Baat o gagil,a melon.,,
Baat o pool,a water melon.,,
Baat o baun,a pumpkin,,
"Babás,","tidings, a message. From Paas, to bring tidings.",,
Bachor,"folly, contention.",,
Bachorren,"a fool; as raúsaán, and rachoen, not wise, half silly.",,
Bachinán,"the fever. Also the verb. prete. binachinan, fut. ino bachiman.",,
Bachan,"a load, also a pair; it is only used of such things, as by nature or art are coupled together. Nata bachan a babat aeharrod, a pair of shoes or stockings.",,
Bachas,dryness.,,
Badda,"joined to sjoem, a child, refers to all children of the male kind, whether of man or beast; when used alone it betokens a full grown male among
beasts: and among the men, a bachelor; we say bachelor, because after marriage the name of badda is no longer given. From this comes, bas a badda, a great boy; and babat a badda, a half grown young man.",,
Baddoa,persons born on the same day.,,
Bado,"a wave, a billow.",,
Báge,"horns; figuratively, a buck; otherwise, o basan.",,
Bagcho,"a fruit, like small cucumbers.",,
Bagchono-adar,"the muscles above the thick part of the leg. measure with, as salt, &c. From Moet.",,
Bagchontea,the muscles under the armpits.,,
Bachún o tairren,a coral,,
Bagga,the lungs.,,
Bagg'o chau,a live coal.,,
Bajan,the east.,,
Bajûs,"a storm: from the verb Pajûs, to storm; transit. pabajûs.",,
Balat,"a double row. From Palat, to spread one's self out twice.",,
Ballasau,a hanger,,
Báo,"new, young.",,
Ba-o a idas,the new moon.,,
Bárbar,the south wind.,,
Bardon,"the outer props, on which the ridge pole rests, All the props of a ridge, whether in the middle, or at the end. .",,
Barok a bok ori,the dewlap of a cow,,
Baron,"a wood, or forest",,
Barón o chaar,the shaft of a pen.,,
Barri,"the wind: from Mabárri, to blow.",,
Barra-barráan,"naked: from pabarra barra, to strip naked.",,
Barranach,an iron pan,,
Bárras,"the remainder, the overplus: ka -' barras okoste, ja merien, ka barras o natta chosar o baddo, there is very little left to do, there is only one man",,
Biánót,the nostrils.,,
Biarool,the buttocks,,
Bidó,"ink, also a letter or book; generally all kinds of lampblack, adhering to pots or chimnies. From Pido, to write.",,
Bigh,"scurfy, scabbyness. Bigh-en, scabby.",,
Bigéno,"scum: from Pigenó, to foam.",,
Bi-ini,the night.,,
Bikagh,a young pig.,,
Billa,"a split, a break, in anything hard, a cleft: from Pilla, to cleave.",,
Billabe,"a fellow, a soldier, young fellows who have beaten the enemy are thus called by the natives.",,
Billáak,the breadth of anything.,,
Billoóog,"this is pronounced like billaák, a split bamboo.",,
Billik,"coarse cloth woven by the natives, also sail cloth.",,
Bilpil,"a plantain tree; bá o bilpil, a plantain.",,
Bilpil o staibos,a small plantain with a red skin,,
Bilpil a sabba,a long plantain.,,
Bilpil o a siel baba,another sort tolerably,,
Bilpil o ta oor,a small plantain with a thin skin.,,
"Biloágh,","a hog spear, a broad pike.",,
Binnam,"a deer, whether buck or doe",,
Bió,"all kinds of juice, in which any food, whether fish or flesh is cooked; or it may be pickled, in order to pre serve it.",,
"Bioa,","thunder. Poa bioa, it thunders.",,
Bióes,tiles. .,,
Bióac,"as barras, superfluous.",,
Bisa,a dart. .,,
Bisa o roddok,"see roddok, a common kind of dart.",,
Bis o tallapiech,"see tallapiech, a large dart.",,
Bitil,a long piece or end broken or cut off from the length of anything; it differs from borbor and kattach.,,
"Bittik,","a word used when anything is pulled, cut, or broken in pieces, as if people very much moved, exclaimed, it is all over. : Seegiech, to tear, and ossot, to plunder.",,
Bóá,"all kinds of seed or fruit of a tree or plant; also the flesh of beasts and fishes. Ba-o, the dregs of native liquor. Also a person.",,
"Bo-ái,",a tankard.,,
Bo-át o chaû,live coal,,
"Bobor o che,",a beetle.,,
"Borrá,","to appease, to be at peace; boor' azies, allies: from Maborro, peace
and Aborro, to pacify.",,
"Borabor,","dust: from Porpor, to raise the dust",,
"Borrak,","large spots, with which mer. are sometimes born. Also the stains with which drinkers soil their clothes.",,
"Borrason,","verb binorrason, fut. inoborrason, g. borrasoa, to become mouldy, and spoiled: borrason a uppo, mouldy bread.",,
"Borrere,",a wen,,
Borró,"a sort of hard reed, with which the natives make darts.",,
"Borrogh,","everything that projects above another. Maborroch mi, ma, verb.",,
"Borroch o nót,",a boil on the nose.,,
"Bórroch o ta,",an island.,,
"Borroch o atazajan,",the edge of a table.,,
"Bossot,","a word used when anything is drawn out, as if we should say, It is out; also when any one comes forward, as bossot ja icho, he is come .forward. Pabossot, to draw out.",,
"Bossor,","the root of a tree, or plant,",,
"Bottóos,",a cat.,,
Bottoots o adda,"a musk-cat, so called because it eats paddy in the field.",,
"Bottóro,","the trunk of a human body, without the head.",,
Bree,a bow.,,
"Cha-át,",a swelling under the ball of the foot.,,
"Cháar,","a feather, or wing.",,
"Cháaran,",the belly,,
"Chachod,",adultery: from chumma.,,
"Chad,",", the calf of the leg.",,
"Chacheriel,","a saw: from chummëriel, to saw.",,
"Chadsja,","almost: chadsia madich, almost sick: chadsja macha, almost dead: chadsja man ja ina, I have nearly had enough: as olachal adsia, olochaladsja, olamamoeda, all these
words are of similar signification, and appear to denote a kind of complaining: olamamoeda, olachadsja macha, he is nearly dead.",,
"Chagh,",the refuse of bruised corn.,,
Chaqchái,a small napkin of silk or woollen.,,
Chagchaú,a besom. From chummaú to sweep.,,
Chachap,"any kind of covering to shut
up any thing, as the lid of a pot, pan, chest or canmster. also a door or window",,
"Chardón,","the premises round a house,
within the fence.",,
"Charra,","the space between the lattice.
Chárrima, the ears.",,
"Charri o zijsia, o idas, o baar,","some days, months, or years, but not all.",,
Cháreo,"stagnant water. Repeated, char chareo, full of marshes and pools.",,
"Charrod,",stockings.,,
"Chási,",a bat.,,
"Chátto,",tobacco.,,
Chaû,fire.,,
"Chauge,","enough, as achoa, and ami, a
a word whereby men signify that they desire no more: it differs from kamicho, and o chal.",,
"Chaûlachol,",the great gut.,,
Chummacho,"chinummacho, chachummacho, g.
chacho-o, I. 
chachon, chinûcho, inochach-on, to polish.
Pachacho, to polish, &c.
Cho chummacho; inochachon, bato achoan;
the man polishes; the knife is whetted;
the stone grinds it sharp.
Chachach-o, a grinding; ma-acha *cha_h-o,
a grindstone.",擦亮；磨（刀）；磨亮,42
Chûmmadik,"chi, cha, chaddikka, chûddikken, chinaddik,
ino-chàddikken, to approach.
Pachaddik, to draw near: chachaddik, an approach:
ma-achachaddik, activ. any one who comes near:
activ. ma-achaddik, coming near. From machaddik,
chaddik, the drawing near of a matter.",接近；靠近,42
Chummad,"chinummad, chachúmmad, g. chadda, I.
chadden, chinad, inochadden, 
retribution, whether good or bad;
pachad, transit: chachad, reward: 
ma-achachad, a rewarder.",好報、惡報,42
Chûmmaddip,"chi, cha, chaddippa, 
to cut off any thing close to the ground.","拔/割掉接近地面的東西（？）
（類似拔草、除草？農作物？）",42
Chummagchil,"chinummagchil, chachummagchil, g. chachilla, I.
chagchillan, chimagchillan, inochagchillan, 
to come up with any one in walking or running.
Pachachil, chachûchchil, nom. subst.
ma-achûchachil, a good runner that can overtake others.",遇見正在走路、跑步的人,42
Chûmmâi,"chinummai, chachûmmai, g.
chai-a, *I. cha-in, chinai, inochaittin,
to carry on the back.
Pachai, transit: chachai, nomen. subst. ma-achachai;",背（動詞）,43
Chummallak,"chi, cha, challakka, chilakken, chimallak, inochallakken,
to cover over, as 'tummakken; achallak, transit.",包住，蓋住，覆蓋,43
Chûmmais,"chi, cho, chaisa, pass.
chaisas, a putting off. Pachais, transit.",經過、路過,43
Chummallûm,"chinummallam, *chachummałlam, g.
challama, any thing that lies over another, as clothes, &c.
Also to hang or put one thing over another.","(v.)堆疊、使重疊
(n.)疊在一起的東西（？）如衣服",43
Chûmmalyal,"chi, cha, chalgalla, the barking of dogs.
Pachalgal, transit.
Chachalgal, gebas nom. ma-achchalgal, to bark.",狗吠聲,43
*Chummannagh,"chi, cha, *channagha, channaghan, chinannaghan, 
inochannaghan, 
to make a notch in an arrow in order to fix it on the string.",在箭上刻凹痕，使其能固定成一串,43
*Chummunied,"chinmumaniod, chachummanied, g. *channida,
the screaming, howling, and crying, whether of children 
or adults.","（大人或小孩的）
尖叫聲、吼叫聲、哭喊聲",43
Chûmmalt,"chinûmmalt, chachûmmalt, g. chatta. I. chattan, chinattan,
inochattan, to pay a ransom for a murderer: according to 
the old native custom, a pig for a man. Also to pay a fine 
for any misdeed. Pachalt, transit. to do as above: also 
simply to give back or repay one thing for another, like for 
like, whatever it be: chachalt, the punishment laid on any
one a ransom for murderer. Also the judgment that is 
annexed to murder. Atea *zi_sja o chachalt o tapos o cho,
the day of general judgment. Ma-achachalt, a ransomer;
that is, one who pays the ransom.",付贖金給歹徒；付罰款；償還,44
*Chummappachappa,"chinummappachappa, chachûmmappachappa, g.
chappachappa, stubborn, shameless, haughty;
to hawl and tear in a quarrelsome manner: 
chiummaappachappo, cho, maibas, chammabal, 
chachappachappa, stubbornness; ma-achachappachappa,
a stubborn, troublesome person.",無恥的；自大的,44
Chümmacha,"chinûmmacha, chachûmmûcha, chachachachûan, chinacha,
inochachaas, to look for, to seek out. Pachacha, pi, pa,
apachûcha, ipachacha, inipachacha, ino-ipachacha,
to search out: piri mario. Chummacho o arribel, o naùpoot,
to look out for good clothes: chummacho'mammal, to look
out for a lover; it is used for men as well as things. Chachûcha,
a searching out: maachachacha, to seek out.",尋找,44
Chummachcho,"chinummachcho, chachûmmachcho, chachchoa, chachchoan,
chinachchóau, inochachchoan, to wash with lye.
Pachûchcho, pinachachcho, papachachcho, ipachachchoa,
ipachachcho, inipachachcho, inoipachachcho, to do as above.
Chummach cho-no riba, to wash clothes.
Ma-achachachcho, a washerman. Chach-cho, lye to wash with.",用鹼液洗,45
Chûmmar,"chinûmmar, chachûmmûr, g. charra, I. charren, chinar, inocharren.
inochûan, to burn up. Pachar, transit. Cho chummar aras baron, 
don charren; or chaan, chauman, people have set the grass on
fire, and it is burnt; the fire consumes. Chúchar paga chûchar
assaban, there is a fire in the village; ma-achachar, one who sets
any thing on fire.",焚燒,45
*Chummecheo,"chinummeocheo, chachúmmeocheo, cheoche-óa, cheocheoon,
chineocheoon, inocheocheoon, to bore a hold a little wider, 
as with a knife, the point of a bill, &c. Pacheocheo, pinacheocheo, 
papacheocheo, ipacheocheóa, ipacheocheo, inipûcheocheo,
ino-ipacheocheo, to do as above.",把洞弄大（？）,46
Chummaraddo,"chi. cha, charaddoa, charaddoon, chinaradodo, inocharadodoon,
the same as rûmmarro, to encircle. Pacharûdodo, transit.
chacharadodo. nom. chûmmarapo, chi, cha, charopoa,
charapoon, chinarapo, inocharapoon, to cover a chamber with 
ant thing; to guard the window with a bamboo: chacharapo, from
Pacharapo, a covering, or placing.",環繞；包圍,46
Chûmmarillochillo,"chi, cha, charillochilloa, the writhing of snakes.",蛇扭動的樣子,46
Chûmmarop,"chinummarop, chachûmmaróp, g. charoppa, l. charóppan,
inicharop, inocharoppan, to gather amd take up with the hands,
as rice, barley; also to rake dirt together. Pacharop, transit.
from chacharop, such scraping together; ma-achacharop,
to scrape anything.",用手聚集（米、大米）；耙土,46
Chûmmarrad,same as chûmmallam,"(v.)堆疊、使重疊 
(n.)疊在一起的東西（？）如衣服",46
Chûmmarod,"chinummarrod, chachummarrod, g: charrodda, to put on one's
stockings. Pacharrod, pi, pa, ipacharodda, &c. charroddas,
chinarroddan, ino-charroddan; charroddan ja asiel, 
he legs are covered with stockings. 
Charrod, ipacharrod, the stockings are on.
Charrod, stockings; ipacharrodoxia, put on the child's stockings.",穿襪子,47
Chûmmaschas,"chinûmmaschas, chachûmmaschas, g. chaschàssa, I. 
chaschassen, chinaschas, inochaschassen, 
to scrape any thing even.",把東西刮平,47
Chümmat,"chinummat, chachûmmat, it is high water; but this is only said of the
sea, and not of rivers. It is used when the water stands still, and 
does not flow. Châchat, high water. Sabunno ja chúmmat ai?
When is it high water? Chûmmat ja to, it is high water.",漲潮,47
Chummattad,"chi, cha. chattûdda, chattaddan, chinattaddan. *inocha_taddan,
to shadow, to over shadow. Pachattad, transit. nom. chattad.
a shadowing. Chatta dan aijan, a shadowy place, 
a covering for the sun.",遮蔽,47
Chûmmaû,"chinûmmaû, chachûmmaû, g: chau-u, I. chaûan, *chiuaû, *inochaúnan,
to sweep. Pachaû, transit. Chachaû; a besom: ma-achachaû, a sweeper:
chochûmmaû, the man sweeps. Chauan ja don, the house is swept.",掃,47
Chúmda,"chi, cha, cheda, chedûan, chienda, inochedûan, early in the season:
as Padaat, Pachdo', transit. nom. chachda, early time.",在季節初到時,48
Chûmme,"chinumme, chachumme, g. chía, to do that which is suitable.",作出合適的舉動,48
Chummeriel,"chinummeriel, chachûmmeriel, to saw; cherila, cherilen, inocherilled.
Pacheriel, pi, pa, ipûcherilla. a saw.",鋸,48
Chûmmero,"chinûmmero, chachûmmero, g: chera, I. cheroan, chínero, inocheroon,
to make straight. As Pachero, transit. chûmmero-noties, chache-ro, nom.
sub. a making straight; also that by which any thing is made straight.",拉直,48
Chûmmi,"chinûmmi, chachûmmi, g. chia, I. chien, chini, inochieu, to bore a hole
with a bodkin. Chaegi, a bore.",用錐子戳洞,48
Chümmibur,"chinûmmibar, chûchûmmibar, g. chibarra. I. chibarren, chinibar, 
mochibarreo, to stir about food in the cooking, that it may not be burned.
Also to row: Pachibar, chibûrren; inochan a bali, the food is well stirred;
the boat is rowed. Chachibar, a stiring about: chachibar o abak, the rowing
of a boat; ma-acha, chibar, a boatman, a rower.","攪拌食物（使不燒焦）；
划船",48
Chümmichi,"chinummichi, chachûmmichi, g: ichichia, I: ichicha, inichicha, inochichi,
to pour in, to cast in, as in a pot, can, or bottle, &c. to pour out.
Pachichi, transit. from chumma. Otoichichi, the beer, wine, or water is
poured out. Chûmmichi, oto o bonoaad_ maibas tûmmis, chachichi,
a pouring out, or pouring in; chûche, chi oto, chamma, ma-achachichi,
a cup bearer.",倒入、倒出（液體）,"49
（頁面疑似有被切到）"
Chûmmied,"chi, cha, chieddan, chidden, chinied, inochiëdden, to fence in, to inclose;
Porchied. transit. Chached, a fence; ma-achachied, to inclose.",（用籬笆等）圍住,49
Chummieg,"chinummieg, chachummieg, g. chiegcha, I: chiegchegen, chiniegch,
inochiegchen, to roast; as summoso pachieg, chiegchen tsi biman,
the fish or flesh is fried. Chachieg, a roasting, or frying; maachachien, a fry.",烤；炸,49
Chûmmillip,"chinûmmillip, chachûmmillip, g: chilippa, I. chilippen, chinilip, inochinilippen,
to cut with shears. Chummillip, naupoot, to cut linen; naupoot chilippen, the
linen is cut up. Chachilip, scissars; ma-achachilip, one who cuts with
scissars.",用矛刺、割,50
Chûmmimit,"chinûmmimit, chachummimit, g: chimta, I. chimten, chinimit, inochimten,
to secure, to take care of, to protect, to rule, to take charge of. Pachimit,
transit. Ma-achachimt, a superintendent, a ruler. Chachimit, a rule.
Pachimit, to take care of. Pachimit o assaban, a garrison to take care of
a town.",照顧、保護、統治,50
Chúmmimo,the same as chûmmibar,,50
Caûmmio,"chinummio, chachummio, chiou, chioan, chinio, inochioan, chummio, no-man,
michan patite, to do any thing when we do not want any one else near.
Chûmmio no cho, to get away the people: cho chioan, the people are gone.",想辦法遠離他人,50
Chûmmior,"chinûmmior, chachûmmior. to sport forth as trees.
Pachoir, transit. Gitas pûchior o barros, the rain makes the tress bud.
Chioor, a bud.",樹發芽（？）,
Chûmmischis,"chinummischis, chachummischis, g: chischissa, l: chischissea, chinischis, 
inochischissen, to produce fire by the rubbing of two bamboos together.
Pûchischis, transitiv. Chûmmischis o chau: to produce fire.",摩擦竹子生火,
Chûmmó,"chinûmmio, chachummo, *choachoon, chino, ino-choon; Pacho, transit.
to lace any thing with a string of rattan. Tairies choón o sarries chacho,
a birding together: chachono tairies,  a stringing of corals.",用藤蔓環裝飾,
Chummoa,"chinûmmoa, chachummonao, g. choa, I. choan, chinoa, inocho-an, 
to lace together. Pachoa, transit. Chachoa. a lacing together. 
*Chummoagagir, to lace the nets together, to fasten.",繫在一起,
Chummime,"chinummine, chachummime, chemea, cheme-in, chineme, ino-cheme-in,
to press out pus from a *boil. Pûchemc, pinacheme, pûpûcheme, 
ipa-chemea, ipacheme. inipacheme, ino-ipacheme, to do as above. 
Chûmmime o soo, to press out a wound.
 Chemeis soa, the wound is pressed out. Cheme, pus.",擠出膿,51
Chumminoch,"chinumminoch, chachumminoch, chiuoch-a, chinoch-en, chininoch,
inochinochen, that which is disapproved of in anger, or cast away in contempt
Pachinoch, po, pa, ipachinocha, &c. to do as above. It betokens also to throw
away any thing in anger and break it into pieces.","（因憤怒、輕蔑）
被丟棄、驅逐的人事物",
Chummir,"chi, cha, chirra, chirron, chinir, inochirran, to hover as birds when they keep
their wings still. Pachier, to do as above. It is used also of trees or grass,
when they gently wave their heads.","如鳥般空中盤旋；
（樹、草等）擺動",
Chûmmisel,"chirrlchen, chinirrich, inochirrichen, to draw a tight line. Pachirrich, pi, pa,
ipachirricha, ipachirrich, inipachirrich, ino-ipachirrich, to do as above.
Chûmmirrich, as kûmmirrich, chachirrich, a right line.",畫直線(right line),
Chummoar,the same as chûmmibar,,52
Chummomach,"chinummomach, cha-chummomach, chomûcha, chomachen, chinomach,
inccho-machen, to rule. Chummomach o sassi, to salt. Fachomach, pipapa
chomach, ipachomach-a, ipachomach, inipachomach, ino-ipa chomach, to do
as above. Chummomach o abo, to plaster with lime.",統治；(用鹽)醃漬；用石灰覆蓋,
Chummo-a-cho,"chi, cha, to root, to poke.",生根；伸出、突出,
Chummo-acho-ar,"chinummo-acho-ar, chachummo-acho-ar, g: cho-acho-arra, I: cho-acho-arren, 
chino-acho-ar, inocho-acho-arren, to mix one thing with another; to stir up from
the bottom, as chummibar. Pacho acho-ar, transit.",混合兩物；(從底部)攪拌,
